Date,Time,SWR,RSSI,A1,A2,A3,A4,GPS Date,GPS Time,Long,Lat,Course,GPS Speed(kts),GPS Alt,Baro Alt(m),Vertical Speed,Air Speed(kts),Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2015-05-15,18:19:58.400,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:58.600,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:58.800,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:59.000,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:59.210,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:59.410,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:59.610,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:19:59.810,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:20:00.010,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-15,18:20:00.210,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
